DistrictName,FALSE,TRUE,Total
GUCHA,365,758,32.5%
GUCHA SOUTH,147,400,26.9%
KISII CENTRAL,264,739,26.3%
KISII SOUTH,74,243,23.3%
MASABA,122,292,29.5%
Total,972,2432,28.6%
