DistrictName,FALSE,TRUE,Total
GUCHA,314,3121,9.1%
GUCHA SOUTH,79,1234,6.0%
KISII CENTRAL,298,2999,9.0%
KISII SOUTH,78,942,7.6%
MASABA,92,985,8.5%
Total,861,9281,8.5%
