DistrictName,FALSE,TRUE,Total
GUCHA,678,2757,19.7%
GUCHA SOUTH,194,1119,14.8%
KISII CENTRAL,490,2809,14.9%
KISII SOUTH,225,795,22.1%
MASABA,199,878,18.5%
Total,1786,8358,17.6%
