DistrictName,FALSE,TRUE,Total
GUCHA,1523,1912,44.3%
GUCHA SOUTH,659,654,50.2%
KISII CENTRAL,1542,1756,46.8%
KISII SOUTH,598,422,58.6%
MASABA,512,565,47.5%
Total,4834,5309,47.7%
