DistrictName,FALSE,TRUE,Total
GUCHA,68,1055,6.1%
GUCHA SOUTH,33,514,6.0%
KISII CENTRAL,69,934,6.9%
KISII SOUTH,30,287,9.5%
MASABA,13,401,3.1%
Total,213,3191,6.3%
