DistrictName,FALSE,TRUE,Total
GUCHA,1190,2037,36.9%
GUCHA SOUTH,334,923,26.6%
KISII CENTRAL,997,2099,32.2%
KISII SOUTH,264,657,28.7%
MASABA,293,715,29.1%
Total,3078,6431,32.4%
