DistrictName,FALSE,TRUE,Total
GUCHA,154,3281,4.5%
GUCHA SOUTH,43,1270,3.3%
KISII CENTRAL,306,2991,9.3%
KISII SOUTH,40,980,3.9%
MASABA,48,1029,4.5%
Total,591,9551,5.8%
