DistrictName,FALSE,TRUE,Total
GUCHA,429,3006,12.5%
GUCHA SOUTH,118,1195,9.0%
KISII CENTRAL,470,2827,14.3%
KISII SOUTH,57,963,5.6%
MASABA,161,916,14.9%
Total,1235,8907,12.2%
