DistrictName,FALSE,TRUE,Total
GUCHA,392,2010,16.3%
GUCHA SOUTH,154,839,15.5%
KISII CENTRAL,364,1864,16.3%
KISII SOUTH,122,497,19.7%
MASABA,136,643,17.5%
Total,1168,5853,16.6%
