DistrictName,FALSE,TRUE,Total
GUCHA,879,2556,25.6%
GUCHA SOUTH,221,1092,16.8%
KISII CENTRAL,777,2520,23.6%
KISII SOUTH,187,833,18.3%
MASABA,194,883,18.0%
Total,2258,7884,22.3%
