DistrictName,FALSE,TRUE,Total
GUCHA,499,2936,14.5%
GUCHA SOUTH,158,1155,12.0%
KISII CENTRAL,634,2663,19.2%
KISII SOUTH,145,875,14.2%
MASABA,139,938,12.9%
Total,1575,8567,15.5%
