DistrictName,FALSE,TRUE,Total
GUCHA,125,3102,3.9%
GUCHA SOUTH,8,1249,0.6%
KISII CENTRAL,172,2923,5.6%
KISII SOUTH,30,891,3.3%
MASABA,6,1002,0.6%
Total,341,9167,3.6%
