DistrictName,FALSE,TRUE,Total
GUCHA,1516,1919,44.1%
GUCHA SOUTH,690,623,52.6%
KISII CENTRAL,1631,1666,49.5%
KISII SOUTH,528,492,51.8%
MASABA,472,605,43.8%
Total,4837,5305,47.7%
