DistrictName,FALSE,TRUE,Total
GUCHA,57,96,37.3%
GUCHA SOUTH,7,27,20.6%
KISII CENTRAL,32,89,26.4%
KISII SOUTH,6,20,23.1%
MASABA,16,27,37.2%
Total,118,259,31.3%
