DistrictName,FALSE,TRUE,Total
GUCHA,63,1060,5.6%
GUCHA SOUTH,15,532,2.7%
KISII CENTRAL,21,981,2.1%
KISII SOUTH,8,309,2.5%
MASABA,26,388,6.3%
Total,133,3270,3.9%
