DistrictName,FALSE,TRUE,Total
GUCHA,399,3036,11.6%
GUCHA SOUTH,109,1204,8.3%
KISII CENTRAL,259,3038,7.9%
KISII SOUTH,128,892,12.5%
MASABA,108,969,10.0%
Total,1003,9139,9.9%
